region_id,geography_type,state_name,date,home_value
40,State,New Jersey,2000-06-30,176739.22860150933
56,State,Virginia,2000-06-30,129582.14866744987
59,State,Washington,2000-06-30,182362.40987391816
8,State,Arizona,2000-06-30,139883.55405223568
26,State,Massachusetts,2000-06-30,207778.0416088684
53,State,Tennessee,2000-06-30,115742.44171454154
22,State,Indiana,2000-06-30,99196.37064458708
27,State,Maryland,2000-06-30,155993.60657670355
32,State,Missouri,2000-06-30,101226.3425230807
60,State,Wisconsin,2000-06-30,125426.0191285925
10,State,Colorado,2000-06-30,187296.54937543557
31,State,Minnesota,2000-06-30,132211.933713653
51,State,South Carolina,2000-06-30,118378.3429477118
4,State,Alabama,2000-06-30,103870.38834753411
25,State,Louisiana,2000-06-30,113512.79005832793
24,State,Kentucky,2000-06-30,92874.55030082124
46,State,Oregon,2000-06-30,157001.27445775736
45,State,Oklahoma,2000-06-30,86289.74620553826
11,State,Connecticut,2000-06-30,170644.4657162654
55,State,Utah,2000-06-30,175092.00896225913
19,State,Iowa,2000-06-30,94957.19299548546
42,State,Nevada,2000-06-30,160190.0448596189
6,State,Arkansas,2000-06-30,91413.96552213856
34,State,Mississippi,2000-06-30,92178.25244465133
23,State,Kansas,2000-06-30,92205.26773676775
41,State,New Mexico,2000-06-30,
38,State,Nebraska,2000-06-30,119353.9157793208
20,State,Idaho,2000-06-30,127853.5887540144
61,State,West Virginia,2000-06-30,75453.9072514648
18,State,Hawaii,2000-06-30,198113.13362074504
39,State,New Hampshire,2000-06-30,141169.46875393772
28,State,Maine,2000-06-30,113180.32314718566
50,State,Rhode Island,2000-06-30,140797.079015084
35,State,Montana,2000-06-30,
13,State,Delaware,2000-06-30,154317.753000261
52,State,South Dakota,2000-06-30,109006.2614981385
37,State,North Dakota,2000-06-30,
3,State,Alaska,2000-06-30,139470.4247682211
12,State,District of Columbia,2000-06-30,169788.3193566207
58,State,Vermont,2000-06-30,121827.9094032438
62,State,Wyoming,2000-06-30,
9,State,California,2000-07-31,201580.97700140733
54,State,Texas,2000-07-31,116349.65098466002
14,State,Florida,2000-07-31,112700.94487301016
43,State,New York,2000-07-31,159842.80916672328
47,State,Pennsylvania,2000-07-31,103888.22686151264
21,State,Illinois,2000-07-31,135370.87604033158
44,State,Ohio,2000-07-31,109636.69278363592
16,State,Georgia,2000-07-31,132218.45005930733
36,State,North Carolina,2000-07-31,134324.31325708368
30,State,Michigan,2000-07-31,122911.10931421164
40,State,New Jersey,2000-07-31,178093.75906951548
56,State,Virginia,2000-07-31,130327.22378027384
59,State,Washington,2000-07-31,183303.046850184
